Person ID,First name,Last name,Party,Constituency,URI,flastname,firstnamelastname,subdomain,user
25888,Tahir,Ali,Labour,Birmingham Hall Green and Moseley,https://www.theyworkforyou.com/mp/25888/tahir_ali/birmingham_hall_green_and_moseley,tali,tahirali,https://tali.caseworkermp.com,TRUE
25579,Rosena,Allin-Khan,Labour,Tooting,https://www.theyworkforyou.com/mp/25579/rosena_allin-khan/tooting,rallinkhan,rosenaallinkhan,https://rallinkhan.caseworkermp.com,TRUE
25122,Jim,Allister,Traditional Unionist Voice,North Antrim,https://www.theyworkforyou.com/mp/25122/jim_allister/north_antrim,jallister,jimallister,,FALSE
26531,Gideon,Amos,Liberal Democrat,Taunton and Wellington,https://www.theyworkforyou.com/mp/26531/gideon_amos/taunton_and_wellington,gamos,gideonamos,https://gamos.caseworkermp.com,TRUE
26380,Callum,Anderson,Labour,Buckingham and Bletchley,https://www.theyworkforyou.com/mp/26380/callum_anderson/buckingham_and_bletchley,canderson,callumanderson,https://canderson.caseworkermp.com,TRUE
25813,Fleur,Anderson,Labour,Putney,https://www.theyworkforyou.com/mp/25813/fleur_anderson/putney,fanderson,fleuranderson,https://fanderson.caseworkermp.com,TRUE
25894,Lee,Anderson,Reform UK,Ashfield,https://www.theyworkforyou.com/mp/25894/lee_anderson/ashfield,landerson,leeanderson,https://landerson.caseworkermp.com,TRUE
25818,Stuart,Anderson,Conservative,South Shropshire,https://www.theyworkforyou.com/mp/25818/stuart_anderson/south_shropshire,sanderson,stuartanderson,https://sanderson.caseworkermp.com,TRUE
24864,Stuart,Andrew,Conservative,Daventry,https://www.theyworkforyou.com/mp/24864/stuart_andrew/daventry,sandrew,stuartandrew,https://sandrew.caseworkermp.com,TRUE
25634,Tonia,Antoniazzi,Labour,Gower,https://www.theyworkforyou.com/mp/25634/tonia_antoniazzi/gower,tantoniazzi,toniaantoniazzi,https://tantoniazzi.caseworkermp.com,TRUE
26491,Steffan,Aquarone,Liberal Democrat,North Norfolk,https://www.theyworkforyou.com/mp/26491/steffan_aquarone/north_norfolk,saquarone,steffanaquarone,https://saquarone.caseworkermp.com,TRUE
25396,Edward,Argar,Conservative,Melton and Syston,https://www.theyworkforyou.com/mp/25396/edward_argar/melton_and_syston,eargar,edwardargar,https://eargar.caseworkermp.com,TRUE
26591,Scott,Arthur,Labour,Edinburgh South West,https://www.theyworkforyou.com/mp/26591/scott_arthur/edinburgh_south_west,sarthur,scottarthur,https://sarthur.caseworkermp.com,TRUE
26386,Jessica,Asato,Labour,Lowestoft,https://www.theyworkforyou.com/mp/26386/jessica_asato/lowestoft,jasato,jessicaasato,https://jasato.caseworkermp.com,TRUE
26594,James,Asser,Labour,West Ham and Beckton,https://www.theyworkforyou.com/mp/26594/james_asser/west_ham_and_beckton,jasser,jamesasser,https://jasser.caseworkermp.com,TRUE
26439,Jas,Athwal,Labour,Ilford South,https://www.theyworkforyou.com/mp/26439/jas_athwal/ilford_south,jathwal,jasathwal,https://jathwal.caseworkermp.com,TRUE
25424,Victoria,Atkins,Conservative,Louth and Horncastle,https://www.theyworkforyou.com/mp/25424/victoria_atkins/louth_and_horncastle,vatkins,victoriaatkins,https://vatkins.caseworkermp.com,TRUE
26405,Catherine,Atkinson,Labour,Derby North,https://www.theyworkforyou.com/mp/26405/catherine_atkinson/derby_north,catkinson,catherineatkinson,https://catkinson.caseworkermp.com,TRUE
26309,Lewis,Atkinson,Labour,Sunderland Central,https://www.theyworkforyou.com/mp/26309/lewis_atkinson/sunderland_central,latkinson,lewisatkinson,https://latkinson.caseworkermp.com,TRUE
26353,Josh,Babarinde,Liberal Democrat,Eastbourne,https://www.theyworkforyou.com/mp/26353/josh_babarinde/eastbourne,jbabarinde,joshbabarinde,https://jbabarinde.caseworkermp.com,TRUE
25750,Gareth,Bacon,Conservative,Orpington,https://www.theyworkforyou.com/mp/25750/gareth_bacon/orpington,gbacon,garethbacon,https://gbacon.caseworkermp.com,TRUE
25693,Kemi,Badenoch,Conservative,North West Essex,https://www.theyworkforyou.com/mp/25693/kemi_badenoch/north_west_essex,kbadenoch,kemibadenoch,https://kbadenoch.caseworkermp.com,TRUE
26340,Calvin,Bailey,Labour,Leyton and Wanstead,https://www.theyworkforyou.com/mp/26340/calvin_bailey/leyton_and_wanstead,cbailey,calvinbailey,https://cbailey.caseworkermp.com,TRUE
26609,Olivia,Bailey,Labour,Reading West and Mid Berkshire,https://www.theyworkforyou.com/mp/26609/olivia_bailey/reading_west_and_mid_berkshire,obailey,oliviabailey,https://obailey.caseworkermp.com,TRUE
