Request URL,# Redirects,Status Code,URL,Error Message
http://mdavies.caseworkermp.com,1,302,http://mdavies.caseworkermp.com,
,,200,https://mdavies.caseworkermp.com/,
http://pdavies.caseworkermp.com,1,302,http://pdavies.caseworkermp.com,
,,500,https://pdavies.caseworkermp.com/,
http://sdavies.caseworkermp.com,1,302,http://sdavies.caseworkermp.com,
,,200,https://sdavies.caseworkermp.com/,
http://adaviesjones.caseworkermp.com,1,302,http://adaviesjones.caseworkermp.com,
,,500,https://adaviesjones.caseworkermp.com/,
http://ddavis.caseworkermp.com,1,302,http://ddavis.caseworkermp.com,
,,500,https://ddavis.caseworkermp.com/,
http://mdecordova.caseworkermp.com,1,302,http://mdecordova.caseworkermp.com,
,,200,https://mdecordova.caseworkermp.com/,
http://bdean.caseworkermp.com,1,302,http://bdean.caseworkermp.com,
,,200,https://bdean.caseworkermp.com/,
http://jdean.caseworkermp.com,1,302,http://jdean.caseworkermp.com,
,,200,https://jdean.caseworkermp.com/,
http://kdearden.caseworkermp.com,1,302,http://kdearden.caseworkermp.com,
,,200,https://kdearden.caseworkermp.com/,
http://cdenyer.caseworkermp.com,1,302,http://cdenyer.caseworkermp.com,
,,200,https://cdenyer.caseworkermp.com/,
http://cdewhirst.caseworkermp.com,1,302,http://cdewhirst.caseworkermp.com,
,,200,https://cdewhirst.caseworkermp.com/,
http://tdhesi.caseworkermp.com,1,302,http://tdhesi.caseworkermp.com,
,,200,https://tdhesi.caseworkermp.com/,
http://jdickson.caseworkermp.com,1,302,http://jdickson.caseworkermp.com,
,,200,https://jdickson.caseworkermp.com/,
http://ldillon.caseworkermp.com,1,302,http://ldillon.caseworkermp.com,
,,200,https://ldillon.caseworkermp.com/,
http://cdinenage.caseworkermp.com,1,302,http://cdinenage.caseworkermp.com,
,,200,https://cdinenage.caseworkermp.com/,
http://adixon.caseworkermp.com,1,302,http://adixon.caseworkermp.com,
,,200,https://adixon.caseworkermp.com/,
http://sdixon.caseworkermp.com,1,302,http://sdixon.caseworkermp.com,
,,200,https://sdixon.caseworkermp.com/,
http://adodds.caseworkermp.com,1,302,http://adodds.caseworkermp.com,
,,500,https://adodds.caseworkermp.com/,
http://hdollimore.caseworkermp.com,1,302,http://hdollimore.caseworkermp.com,
,,200,https://hdollimore.caseworkermp.com/,
http://ddoogan.caseworkermp.com,1,302,http://ddoogan.caseworkermp.com,
,,200,https://ddoogan.caseworkermp.com/,
http://sdoughty.caseworkermp.com,1,302,http://sdoughty.caseworkermp.com,
,,200,https://sdoughty.caseworkermp.com/,
http://pdowd.caseworkermp.com,1,302,http://pdowd.caseworkermp.com,
,,200,https://pdowd.caseworkermp.com/,
http://odowden.caseworkermp.com,1,302,http://odowden.caseworkermp.com,
,,200,https://odowden.caseworkermp.com/,
http://gdownie.caseworkermp.com,1,302,http://gdownie.caseworkermp.com,
,,200,https://gdownie.caseworkermp.com/,
http://rduffield.caseworkermp.com,1,302,http://rduffield.caseworkermp.com,
,,200,https://rduffield.caseworkermp.com/,
http://iduncansmith.caseworkermp.com,1,302,http://iduncansmith.caseworkermp.com,
,,200,https://iduncansmith.caseworkermp.com/,
http://nduncanjordan.caseworkermp.com,1,302,http://nduncanjordan.caseworkermp.com,
,,200,https://nduncanjordan.caseworkermp.com/,
http://sdyke.caseworkermp.com,1,302,http://sdyke.caseworkermp.com,
,,200,https://sdyke.caseworkermp.com/,
http://aeagle.caseworkermp.com,1,302,http://aeagle.caseworkermp.com,
,,200,https://aeagle.caseworkermp.com/,
http://meagle.caseworkermp.com,1,302,http://meagle.caseworkermp.com,
,,200,https://meagle.caseworkermp.com/,
http://aeaston.caseworkermp.com,1,302,http://aeaston.caseworkermp.com,
,,200,https://aeaston.caseworkermp.com/,
http://ceastwood.caseworkermp.com,1,302,http://ceastwood.caseworkermp.com,
,,200,https://ceastwood.caseworkermp.com/,
http://seastwood.caseworkermp.com,1,302,http://seastwood.caseworkermp.com,
,,200,https://seastwood.caseworkermp.com/,
http://ceccles.caseworkermp.com,1,302,http://ceccles.caseworkermp.com,
,,200,https://ceccles.caseworkermp.com/,
http://ledwards.caseworkermp.com,1,302,http://ledwards.caseworkermp.com,
,,200,https://ledwards.caseworkermp.com/,
http://sedwards.caseworkermp.com,1,302,http://sedwards.caseworkermp.com,
,,200,https://sedwards.caseworkermp.com/,
http://cefford.caseworkermp.com,1,302,http://cefford.caseworkermp.com,
,,200,https://cefford.caseworkermp.com/,
http://degan.caseworkermp.com,1,302,http://degan.caseworkermp.com,
,,200,https://degan.caseworkermp.com/,
http://mellis.caseworkermp.com,1,302,http://mellis.caseworkermp.com,
,,200,https://mellis.caseworkermp.com/,
http://celmore.caseworkermp.com,1,302,http://celmore.caseworkermp.com,
,,200,https://celmore.caseworkermp.com/,
http://kentwistle.caseworkermp.com,1,302,http://kentwistle.caseworkermp.com,
,,200,https://kentwistle.caseworkermp.com/,
http://feshalomi.caseworkermp.com,1,302,http://feshalomi.caseworkermp.com,
,,200,https://feshalomi.caseworkermp.com/,
http://besterson.caseworkermp.com,1,302,http://besterson.caseworkermp.com,
,,200,https://besterson.caseworkermp.com/,
http://cevans.caseworkermp.com,1,302,http://cevans.caseworkermp.com,
,,200,https://cevans.caseworkermp.com/,
http://levans.caseworkermp.com,1,302,http://levans.caseworkermp.com,
,,200,https://levans.caseworkermp.com/,
http://mfahnbulleh.caseworkermp.com,1,302,http://mfahnbulleh.caseworkermp.com,
,,200,https://mfahnbulleh.caseworkermp.com/,
http://hfalconer.caseworkermp.com,1,302,http://hfalconer.caseworkermp.com,
,,200,https://hfalconer.caseworkermp.com/,
http://nfarage.caseworkermp.com,1,302,http://nfarage.caseworkermp.com,
,,200,https://nfarage.caseworkermp.com/,
http://lfarnsworth.caseworkermp.com,1,302,http://lfarnsworth.caseworkermp.com,
,,200,https://lfarnsworth.caseworkermp.com/,
http://tfarron.caseworkermp.com,1,302,http://tfarron.caseworkermp.com,
,,200,https://tfarron.caseworkermp.com/,
http://jfentonglynn.caseworkermp.com,1,302,http://jfentonglynn.caseworkermp.com,
,,200,https://jfentonglynn.caseworkermp.com/,
http://mferguson.caseworkermp.com,1,302,http://mferguson.caseworkermp.com,
,,200,https://mferguson.caseworkermp.com/,
http://pferguson.caseworkermp.com,1,302,http://pferguson.caseworkermp.com,
,,200,https://pferguson.caseworkermp.com/,
http://jfinucane.caseworkermp.com,1,302,http://jfinucane.caseworkermp.com,
,,500,https://jfinucane.caseworkermp.com/,
http://nfleet.caseworkermp.com,1,302,http://nfleet.caseworkermp.com,
,,200,https://nfleet.caseworkermp.com/,
http://sflynn.caseworkermp.com,1,302,http://sflynn.caseworkermp.com,
,,200,https://sflynn.caseworkermp.com/,
